,0
extractors,1.0
StatSoft,1.0
AVA,1.0
genomes,1.0
trimodal,1.0
Wikipedia,1.0
WordNet,1.0
motifs,1.0
BLAST,1.0
bimodal,1.0
treemaps,1.0
PROCLUS,1.0
multimodal,1.0
neurodes,1.0
MineSet,1.0
Clementine,1.0
undersampling,1.0
CRM,1.0
postpruning,1.0
inferential statistics,0.7592592592592592
instances,0.7037037037037037
Baum-Welch algorithm,0.6944444444444444
generalized relations,0.6666666666666666
reduced support,0.6574074074074073
editing method,0.6481481481481481
randomization methods,0.6481481481481481
shapelets method,0.6481481481481481
patterns,0.6388888888888888
microeconomic view,0.6296296296296295
factor analysis,0.6203703703703703
IR,0.6203703703703703
ﬁeld overloading,0.6203703703703703
Viterbi algorithm,0.611111111111111
metrics,0.611111111111111
pyramid algorithm,0.611111111111111
load,0.6018518518518519
base cells,0.5925925925925926
cluster analysis,0.5833333333333333
inductive databases,0.5833333333333333
decision tree analysis,0.5740740740740741
expectation-maximization,0.5740740740740741
outlier subgraphs,0.5740740740740741
binning,0.5648148148148148
inconvertible constraints,0.5648148148148148
pattern discovery,0.5648148148148148
max patterns,0.5555555555555556
relevance analysis,0.5555555555555556
RIPPER,0.5555555555555556
categorical attributes,0.5462962962962963
pattern constraints,0.5462962962962963
bagging,0.5462962962962963
rare patterns,0.5277777777777778
closed patterns,0.5277777777777778
binary attributes,0.5277777777777778
DIANA,0.5277777777777778
confusion matrix,0.5277777777777778
Bayes’ theorem,0.5277777777777778
negative tuples,0.5185185185185185
k-anonymity method,0.5185185185185185
superset checking,0.5092592592592592
variant graph patterns,0.5092592592592592
intradimensional association rules,0.5092592592592592
decision trees,0.4907407407407407
COP k-means algorithm,0.4907407407407407
DBSCAN,0.48148148148148145
frequency patterns,0.4722222222222222
trimmed mean,0.4722222222222222
link prediction,0.4629629629629629
outlier analysis,0.4629629629629629
data segmentation,0.45370370370370366
attributes,0.45370370370370366
association analysis,0.45370370370370366
nominal attributes,0.45370370370370366
structural patterns,0.4444444444444444
data scrubbing tools,0.4444444444444444
colossal patterns,0.4444444444444444
pivot,0.4444444444444444
discrepancy detection,0.4351851851851852
lift,0.4351851851851852
data,0.4351851851851852
attribute vectors,0.4351851851851852
outliers,0.4351851851851852
collective outlier detection,0.42592592592592593
semi-supervised outlier detection,0.42592592592592593
data classiﬁcation,0.42592592592592593
ubiquitous data mining,0.41666666666666663
time-series forecasting,0.41666666666666663
item skipping,0.4074074074074074
outlier detection,0.4074074074074074
Pareto distribution,0.4074074074074074
IF-THEN rules,0.4074074074074074
cotraining,0.4074074074074074
e-commerce,0.4074074074074074
Divisive Analysis,0.4074074074074074
connectionist learning,0.4074074074074074
sales campaign analysis,0.39814814814814814
partitioning,0.39814814814814814
classiﬁcation,0.39814814814814814
negatively skewed data,0.38888888888888884
support vectors,0.38888888888888884
monotonic constraints,0.38888888888888884
case-based reasoning,0.38888888888888884
cube gradient analysis,0.3796296296296296
hard constraints,0.3796296296296296
CHAID,0.3796296296296296
continuous attributes,0.3796296296296296
percentiles,0.3796296296296296
Agglomerative Nesting,0.37037037037037035
multifeature cubes,0.37037037037037035
mixture models,0.37037037037037035
substitution matrices,0.37037037037037035
data cleaning,0.37037037037037035
cluster samples,0.37037037037037035
shared-partitions,0.3611111111111111
discernibility matrix,0.3611111111111111
global outliers,0.3611111111111111
decision tree induction,0.3611111111111111
cells,0.3611111111111111
data preprocessing,0.3611111111111111
contextual attributes,0.3611111111111111
graph pattern mining,0.3611111111111111
waterfall method,0.3611111111111111
document classiﬁcation,0.35185185185185186
angle-based outlier detection,0.35185185185185186
sampling cubes,0.35185185185185186
BUC,0.35185185185185186
core patterns,0.35185185185185186
grouping attributes,0.35185185185185186
pattern space pruning,0.35185185185185186
sensitivity analysis,0.34259259259259256
unordered attributes,0.34259259259259256
representative patterns,0.34259259259259256
subspaces,0.34259259259259256
false negatives,0.34259259259259256
statistical databases,0.3333333333333333
negative correlation,0.3333333333333333
compressed patterns,0.3333333333333333
numeric prediction,0.3333333333333333
