,0
StatSoft,1.0
WordNet,1.0
Clementine,1.0
undersampling,1.0
MineSet,1.0
motifs,1.0
AVA,1.0
postpruning,1.0
PROCLUS,1.0
trimodal,1.0
multimodal,1.0
treemaps,1.0
Wikipedia,1.0
CRM,1.0
BLAST,1.0
neurodes,1.0
bimodal,1.0
extractors,1.0
genomes,1.0
BCubed recall metric,0.8591549295774648
inferential statistics,0.8591549295774648
perception-based classiﬁcation,0.7887323943661972
naive Bayesian classiﬁcation,0.7464788732394366
inconvertible constraints,0.7183098591549296
squashing function,0.7042253521126761
differential privacy,0.676056338028169
randomization methods,0.647887323943662
editing method,0.647887323943662
shapelets method,0.647887323943662
bitmapped join indexing,0.647887323943662
COP k-means algorithm,0.6338028169014085
trimmed mean,0.6056338028169014
hamming distance,0.5774647887323944
Baum-Welch algorithm,0.5633802816901409
Viterbi algorithm,0.5633802816901409
pyramid algorithm,0.5633802816901409
instances,0.5352112676056339
BCubed precision metric,0.5352112676056339
microeconomic view,0.5211267605633803
collaborative recommender systems,0.5211267605633803
ubiquitous data mining,0.5211267605633803
densiﬁcation power law,0.5070422535211268
RIPPER,0.5070422535211268
Bayes’ theorem,0.49295774647887325
reduced support,0.49295774647887325
survival analysis,0.4647887323943662
stick ﬁgure visualization,0.4647887323943662
phylogenetic trees,0.4647887323943662
CHAID,0.4507042253521127
closed patterns,0.4507042253521127
discernibility matrix,0.4366197183098592
load,0.4366197183098592
tilted time windows,0.4225352112676056
connectionist learning,0.3943661971830986
Pareto distribution,0.3943661971830986
ancestor cells,0.38028169014084506
inductive databases,0.38028169014084506
intradimensional association rules,0.38028169014084506
signature-based detection,0.35211267605633806
spatiotemporal data mining,0.35211267605633806
core patterns,0.3380281690140845
core descendants,0.3380281690140845
generalized relations,0.323943661971831
link prediction,0.3098591549295775
ID3,0.3098591549295775
working relations,0.3098591549295775
variant graph patterns,0.29577464788732394
subcube queries,0.29577464788732394
normalization,0.29577464788732394
patterns,0.28169014084507044
monotonic constraints,0.28169014084507044
cube space,0.28169014084507044
object matching,0.28169014084507044
predicates,0.28169014084507044
pattern discovery,0.28169014084507044
factor analysis,0.28169014084507044
illustrated,0.26760563380281693
compressed patterns,0.26760563380281693
mutually exclusive rules,0.26760563380281693
