,0
Incremental crawling,1.0
AVA,0.9142857142857143
IUF,0.9142857142857143
corpusname,0.9142857142857143
Synonyms,0.9142857142857143
Feelings,0.9142857142857143
OVA,0.9142857142857143
Kolmogorov axioms,0.8571428571428571
NLTK toolkit,0.7999999999999999
Gibbs sampling,0.7714285714285714
Navigating maps in multimode interactive access,0.7714285714285714
Presupposition in NLP,0.7714285714285714
Stanford NLP toolkit,0.7714285714285714
TopicExtraction operator,0.7714285714285714
reset command,0.7714285714285714
Illinois NLP Curator toolkit,0.7714285714285714
Bitwise compression,0.7428571428571429
Compact clusters,0.7428571428571429
Tight clusters,0.7428571428571429
Sensors,0.7142857142857143
Compression,0.6857142857142857
Geometric mean average precision,0.6857142857142857
Anaphora resolution in natural language processing,0.6571428571428571
Integrity in text data access,0.6571428571428571
Properties,0.6571428571428571
Sticky phrases in Brown clustering,0.6571428571428571
Interactive access,0.6285714285714286
Geographical networks,0.6285714285714286
Maximum likelihood estimation,0.6285714285714286
Citations,0.6285714285714286
Multimode interactive access,0.6285714285714286
Access modes,0.6285714285714286
Push access mode,0.6
LIBLINEAR algorithm,0.6
Subjective sensors,0.6
Compression ratio,0.6
Correlations,0.5714285714285714
Sublinear transformation,0.5714285714285714
Maps in multimode interactive access,0.5714285714285714
Integer compression,0.5714285714285714
Reciprocal ranks,0.5714285714285714
Mean reciprocal rank,0.5714285714285714
Variables,0.5428571428571428
Search engine toolkits,0.5428571428571428
Breakeven point precision,0.5428571428571428
Vectors,0.5428571428571428
Centroid vectors,0.5428571428571428
Unified systems,0.5428571428571428
Crawlers,0.5428571428571428
Long-range jumps in multimode interactive access,0.5428571428571428
Component models,0.5142857142857142
Hidden variables,0.5142857142857142
Terms,0.4857142857142857
Distinguishing categories,0.4857142857142857
Searches,0.4857142857142857
Brown clustering,0.4857142857142857
SDI tion),0.4857142857142857
Unary bitwise compression,0.4857142857142857
Search engine implementation,0.4857142857142857
Block compression,0.4857142857142857
MRR,0.4857142857142857
Collection language model,0.4857142857142857
Map Reduce paradigm,0.4857142857142857
Symmetry in document clustering,0.4857142857142857
Metadata,0.45714285714285713
Magazine output,0.45714285714285713
Transformations,0.45714285714285713
Berkeley study,0.45714285714285713
Blind feedback,0.45714285714285713
Divisive clustering,0.42857142857142855
Search engine evaluation,0.42857142857142855
Office documents,0.42857142857142855
TF weighting,0.42857142857142855
Dependent random variables,0.42857142857142855
Effectiveness in search engine evaluation,0.42857142857142855
Indexes,0.42857142857142855
Cold start problem,0.39999999999999997
Pull access mode,0.39999999999999997
Vertical search engines,0.39999999999999997
K-means document clustering,0.39999999999999997
Logarithm transformation,0.39999999999999997
Gamma bitwise compression,0.39999999999999997
Negative feelings,0.39999999999999997
Index sharding,0.39999999999999997
Stemmed words in vector space model,0.39999999999999997
Scikit Learn toolkit,0.39999999999999997
E-discovery,0.39999999999999997
Policy design,0.39999999999999997
Forward indexes,0.39999999999999997
Unimodel Beta,0.39999999999999997
Parallel crawling,0.39999999999999997
Linearly separable data points in linear classifiers,0.39999999999999997
Maximum a Posteriori,0.37142857142857144
Filters,0.37142857142857144
Files in Google File System,0.37142857142857144
Named entity recognition,0.37142857142857144
Mixture models,0.37142857142857144
Kullback-Leibler divergence retrieval model,0.37142857142857144
Term vectors,0.37142857142857144
Topic maps in multimode interactive access,0.37142857142857144
Overfitting problem,0.37142857142857144
gz_corpus input format,0.37142857142857144
Agglomerative clustering,0.37142857142857144
Translation,0.37142857142857144
Supervised LDA,0.37142857142857144
Divergence-from-randomness models,0.34285714285714286
Pearson correlation,0.34285714285714286
Neural language model,0.34285714285714286
map function,0.34285714285714286
Recommender systems,0.34285714285714286
Unigrams,0.34285714285714286
Reviews,0.34285714285714286
Scorers,0.34285714285714286
Nearest-centroid classifiers,0.34285714285714286
Learning modules in content-based filtering,0.34285714285714286
Generative models,0.34285714285714286
Accuracy in search engine evaluation,0.34285714285714286
DCG,0.3142857142857143
Skip-gram neural language model,0.3142857142857143
Utility,0.3142857142857143
Measurements in search engine evaluation,0.3142857142857143
Ranking,0.3142857142857143
Clickthroughs,0.3142857142857143
Decision modules in content-based filtering,0.3142857142857143
n-gram language models,0.3142857142857143
Multiple-level sentiment analysis,0.3142857142857143
Two-component mixture model,0.3142857142857143
Massung,0.3142857142857143
Focused crawling,0.3142857142857143
Modules in content-based filtering,0.2857142857142857
Mining,0.2857142857142857
Sign tests in search engine evaluation,0.2857142857142857
Inferences,0.2857142857142857
NDCG@k score,0.2857142857142857
NLP,0.2857142857142857
Bigrams,0.2857142857142857
System architecture in unified systems,0.2857142857142857
Long-term needs in push access mode,0.2857142857142857
Initialization modules in content-based filtering,0.2857142857142857
Configuration files,0.2857142857142857
Operators in text analysis systems,0.2857142857142857
Text information systems,0.2857142857142857
Compare operator,0.2857142857142857
Content-based filtering,0.2857142857142857
Dendrograms,0.2857142857142857
Random variables,0.2857142857142857
Personalization in web searches,0.2857142857142857
Single-link document clustering,0.2571428571428571
Efficiency,0.2571428571428571
Marginal probabilities,0.2571428571428571
Matrices,0.2571428571428571
Gamma function,0.2571428571428571
Syntagmatic relations,0.2571428571428571
Inverted indexes,0.2571428571428571
Search engine queries,0.2571428571428571
Selective dissemination of information,0.2571428571428571
Stylistic analysis in NLP,0.2571428571428571
TISs,0.2571428571428571
Knowledge provenance in unified systems,0.2571428571428571
Indri/Lemur search engine toolkit,0.2571428571428571
Shadow analysis in NLP,0.2571428571428571
Web searches,0.2571428571428571
NetPLSA model,0.2571428571428571
Domains,0.2571428571428571
Queries,0.2571428571428571
Conceptual framework in text information systems,0.2571428571428571
RMSE,0.2571428571428571
list_filter filter,0.2571428571428571
Mutual information,0.2571428571428571
Context variables in topic analysis,0.2571428571428571
Usability in search engine evaluation,0.2571428571428571
CG,0.2571428571428571
Polarity analysis in sentiment classification,0.2571428571428571
forward_index indexes,0.2571428571428571
